x y c
1.012928e+00 2.019726e+00 5.062840e-01
1.139314e+00 1.082637e+00 5.062840e-01
2.162263e+00 2.014768e+00 5.062840e-01
3.143636e+00 3.004483e+00 3.812108e-01
2.162263e+00 2.014768e+00 3.812108e-01
3.197210e+00 2.099360e+00 3.812108e-01
3.197210e+00 2.099360e+00 5.196255e-01
2.162263e+00 2.014768e+00 5.196255e-01
3.063814e+00 1.196319e+00 5.196255e-01
2.075921e+00 3.024102e+00 5.397536e-01
3.143636e+00 3.004483e+00 5.397536e-01
1.149532e+00 3.146912e+00 5.397536e-01
2.162263e+00 2.014768e+00 5.996642e-01
3.143636e+00 3.004483e+00 5.996642e-01
2.075921e+00 3.024102e+00 5.996642e-01
2.075921e+00 3.024102e+00 6.694245e-01
1.149532e+00 3.146912e+00 6.694245e-01
1.012928e+00 2.019726e+00 6.694245e-01
1.012928e+00 2.019726e+00 7.293352e-01
2.162263e+00 2.014768e+00 7.293352e-01
2.075921e+00 3.024102e+00 7.293352e-01
2.084080e+00 1.127461e+00 4.309896e-01
2.162263e+00 2.014768e+00 4.309896e-01
1.139314e+00 1.082637e+00 4.309896e-01
2.084080e+00 1.127461e+00 5.481158e-01
3.063814e+00 1.196319e+00 5.481158e-01
2.162263e+00 2.014768e+00 5.481158e-01
